date,times,crime,location,disposition,location_geo,lat,long
1/1/13,1:26:15,ASSAULT IN PROGRESS/JUST,402-2 SULLIVAN AV,WARNED & ADVISED,402-2 SULLIVAN AV Waterloo Iowa,42.48781,-92.356319
1/1/13,2:27:37,MVA HIT & RUN,429-104 E DONALD ST,REPORT INITIATED,429-104 E DONALD ST Waterloo Iowa,42.52756,-92.336908
1/1/13,4:13:25,ASSAULT,110 E 11TH ST,REPORT INITIATED,110 E 11TH ST Waterloo Iowa,42.493194,-92.328854
1/2/13,13:03:49,BURGLARY,223 WEBSTER ST,REPORT INITIATED,223 WEBSTER ST Waterloo Iowa,42.51161,-92.331738
1/2/13,14:24:48,ASSAULT IN PROGRESS/JUST,1025 SYCAMORE ST,WARNED & ADVISED,1025 SYCAMORE ST Waterloo Iowa,42.495101,-92.330802
1/2/13,17:25:08,MVA HIT & RUN,817 BOURLAND AV,REPORT INITIATED,817 BOURLAND AV Waterloo Iowa,42.475988,-92.346468
1/2/13,18:49:45,BURGLARY,1147 BERTCH AV,REPORT INITIATED,1147 BERTCH AV Waterloo Iowa,42.483007,-92.341018
1/2/13,19:20:51,BURGLARY,617 REBER AV,REPORT INITIATED,617 REBER AV Waterloo Iowa,42.487293,-92.364396
1/2/13,20:13:09,BURGLARY,1133 LEAVITT ST,REPORT INITIATED,1133 LEAVITT ST Waterloo Iowa,42.484981,-92.340742
1/3/13,1:37:32,ASSAULT,402 DUNHAM PL,REPORT INITIATED,402 DUNHAM PL Waterloo Iowa,42.489861,-92.315998
1/3/13,6:38:41,BURGLARY,1133 LEAVITT ST,REFERRED WITHIN DEPT,1133 LEAVITT ST Waterloo Iowa,42.484981,-92.340742
1/3/13,12:55:58,WEAPON:SHOTS FIRED,417 ELM ST,ASSISTED,417 ELM ST Waterloo Iowa,42.494982,-92.32423
1/3/13,15:25:30,ASSAULT,501 N ELK RUN RD,REPORT INITIATED,501 N ELK RUN RD Waterloo Iowa,42.505099,-92.258873
1/3/13,16:24:39,BURGLARY,216 PALMER DR,REPORT INITIATED,216 PALMER DR Waterloo Iowa,42.478988,-92.354248
1/3/13,21:15:05,ASSAULT,1130 BAUCH ST,ASSISTED,1130 BAUCH ST Waterloo Iowa,42.505178,-92.380087
1/4/13,3:16:57,ASSAULT,3931 OAK PARK CIR,REPORT INITIATED,3931 OAK PARK CIR Waterloo Iowa,42.510446,-92.402649
1/4/13,9:35:56,MVA HIT & RUN,3105 LAFAYETTE ST,REPORT INITIATED,3105 LAFAYETTE ST Waterloo Iowa,42.483461,-92.299244
1/4/13,22:06:40,ASSAULT,114 SUNSET RD,REPORT INITIATED,114 SUNSET RD Waterloo Iowa,42.480233,-92.361558
1/5/13,5:31:00,BURGLARY,221 CENTER ST,REPORT INITIATED,221 CENTER ST Waterloo Iowa,42.510903,-92.340697
1/5/13,10:58:47,ASSAULT IN PROGRESS/JUST,1321 GRANT AV,REPORT INITIATED,1321 GRANT AV Waterloo Iowa,42.485859,-92.338382
1/5/13,12:55:38,ASSAULT,3350 UNIVERSITY AV,REFERRED WITHIN DEPT,3350 UNIVERSITY AV Waterloo Iowa,42.502159,-92.39112
1/6/13,0:08:25,ASSAULT,2651 ST FRANCIS DR,REPORT INITIATED,2651 ST FRANCIS DR Waterloo Iowa,42.4619,-92.343063
1/6/13,11:20:59,BURGLARY,KIMBALL AV and SHAULIS RD,REPORT INITIATED,KIMBALL AV and SHAULIS RD Waterloo Iowa,42.443179,-92.356732
1/6/13,12:10:46,STABBING IN PROGRESS/JUST,2070 LOCKE AV,REPORT INITIATED,2070 LOCKE AV Waterloo Iowa,42.471758,-92.319474
1/6/13,14:15:47,ASSAULT,316 E MULLAN AV,WARNED & ADVISED,316 E MULLAN AV Waterloo Iowa,42.502749,-92.339433
1/6/13,15:04:28,ASSAULT,1129 EVERGREEN AV,REPORT INITIATED,1129 EVERGREEN AV Waterloo Iowa,42.496624,-92.374154
1/6/13,21:47:09,ASSAULT/AMBULANCE REQUESTED,1520 BERTCH AV,REPORT INITIATED,1520 BERTCH AV Waterloo Iowa,42.482712,-92.334202
1/7/13,0:16:18,ASSAULT IN PROGRESS/JUST,425-3 DENVER ST,REPORT INITIATED,425-3 DENVER ST Waterloo Iowa,42.487506,-92.352745
1/7/13,12:45:31,MVA HIT & RUN,2311 LOGAN AV,INFO EXCHANGE,2311 LOGAN AV Waterloo Iowa,42.534326,-92.337568
1/7/13,14:22:27,BURGLARY,624 E MITCHELL AV,EXTRA ATTENTION,624 E MITCHELL AV Waterloo Iowa,42.476346,-92.348728
1/7/13,15:23:31,WEAPONS VIOLATIONS,1755 W 11TH ST,VERBAL WARNING,1755 W 11TH ST Waterloo Iowa,42.471998,-92.334938
1/7/13,16:42:33,BURGLARY,1725-301 COLUMBIA ST,REPORT INITIATED,1725-301 COLUMBIA ST Waterloo Iowa,42.508648,-92.343423
1/7/13,18:06:39,WEAPON:SHOTS FIRED,730 W PARK AV,REPORT INITIATED,730 W PARK AV Waterloo Iowa,42.491334,-92.346592
1/8/13,11:51:27,BURGLARY,257 ANSBOROUGH AV,REPORT INITIATED,257 ANSBOROUGH AV Waterloo Iowa,42.508974,-92.373319
1/8/13,13:34:16,MVA HIT & RUN,905 FRANKLIN ST,INFO EXCHANGE,905 FRANKLIN ST Waterloo Iowa,42.498807,-92.329396
1/8/13,15:56:14,ASSAULT,3508-69 KENNEDY LN,WARNED & ADVISED,3508-69 KENNEDY LN Waterloo Iowa,42.434698,-92.292398
1/8/13,16:00:14,BURGLARY,1424 W 2ND ST,REPORT INITIATED,1424 W 2ND ST Waterloo Iowa,42.488491,-92.356981
1/8/13,19:01:24,MVA HIT & RUN,1501 E SAN MARNAN DR,REPORT INITIATED,1501 E SAN MARNAN DR Waterloo Iowa,42.465634,-92.324035
1/9/13,0:22:24,ASSAULT,216-.5 RANDOLPH ST,REPORT INITIATED,216-.5 RANDOLPH ST Waterloo Iowa,42.493486,-92.348268
1/9/13,12:04:23,BURGLARY IN PROGRESS/JUST,1925 AUDUBON DR,REPORT INITIATED,1925 AUDUBON DR Waterloo Iowa,42.451291,-92.393593
1/9/13,13:59:06,BURGLARY,418 CAMPBELL AV,REPORT INITIATED,418 CAMPBELL AV Waterloo Iowa,42.484166,-92.360815
1/9/13,14:31:34,BURGLARY,114 SUNSET RD,CIVIL PROBLEM,114 SUNSET RD Waterloo Iowa,42.480233,-92.361558
1/9/13,19:05:17,ASSAULT,315 NEWELL ST,REPORT INITIATED,315 NEWELL ST Waterloo Iowa,42.51348,-92.330558
1/9/13,23:56:13,MVA HIT & RUN,1334 FLAMMANG DR,REPORT INITIATED,1334 FLAMMANG DR Waterloo Iowa,42.458825,-92.330526
1/10/13,4:14:02,BURGLARY IN PROGRESS/JUST,2332 FALLS AV,REPORT INITIATED,2332 FALLS AV Waterloo Iowa,42.500389,-92.376468
1/10/13,14:01:20,BURGLARY,1104 W MULLAN AV,REPORT INITIATED,1104 W MULLAN AV Waterloo Iowa,42.492807,-92.354094
1/10/13,15:06:11,BURGLARY,620 KIMBALL AV,REPORT INITIATED,620 KIMBALL AV Waterloo Iowa,42.485043,-92.35759
1/10/13,15:40:03,ASSAULT IN PROGRESS/JUST,DOWNING AV and WREN RD,REPORT INITIATED,DOWNING AV and WREN RD Waterloo Iowa,42.494755,-92.387368
1/10/13,16:36:12,BURGLARY,1642 GLENNY AV,REPORT INITIATED,1642 GLENNY AV Waterloo Iowa,42.479066,-92.330948
1/10/13,19:30:59,ASSAULT,1825 BALTIMORE ST,REPORT INITIATED,1825 BALTIMORE ST Waterloo Iowa,42.474197,-92.34926
1/10/13,19:43:13,ASSAULT,1318 W 6TH ST,WARNED & ADVISED,1318 W 6TH ST Waterloo Iowa,42.483302,-92.34779
1/11/13,9:12:56,MVA HIT & RUN,WASHINGTON ST and WILLISTON AV,REPORT INITIATED,WASHINGTON ST and WILLISTON AV Waterloo Iowa,42.483828,-92.328997
1/11/13,11:17:36,BURGLARY,914 LA PORTE RD,REPORT INITIATED,914 LA PORTE RD Waterloo Iowa,42.47712,-92.322801
1/11/13,12:23:03,MVA HIT & RUN,604 BALTIMORE ST,REPORT INITIATED,604 BALTIMORE ST Waterloo Iowa,42.486214,-92.350166
1/11/13,13:11:39,MVA HIT & RUN,1825 LOGAN AV,REPORT INITIATED,1825 LOGAN AV Waterloo Iowa,42.526653,-92.339567
1/11/13,23:33:39,MVA HIT & RUN,121 COURTLAND ST,REPORT INITIATED,121 COURTLAND ST Waterloo Iowa,42.49757,-92.327036
1/12/13,14:26:11,MVA HIT & RUN,300-BLK COMMERCIAL ST,H/M 15-30 TRAF-CITE,300-BLK COMMERCIAL ST Waterloo Iowa,42.497197,-92.342922
1/13/13,1:10:45,ASSAULT,110 E 11TH ST,REFERRED WITHIN DEPT,110 E 11TH ST Waterloo Iowa,42.493194,-92.328854
1/13/13,1:36:35,WEAPONS VIOLATIONS,213 E 5TH ST,REPORT INITIATED,213 E 5TH ST Waterloo Iowa,42.498188,-92.334892
1/13/13,1:44:34,ASSAULT,184 W 18TH ST,REFERRED WITHIN DEPT,184 W 18TH ST Waterloo Iowa,42.485652,-92.3248
1/13/13,3:11:19,ASSAULT/AMBULANCE REQUESTED,312 LESTER ST,REPORT INITIATED,312 LESTER ST Waterloo Iowa,42.517926,-92.33054
1/13/13,3:45:09,ASSAULT IN PROGRESS/JUST,1825 LA PORTE RD,REPORT INITIATED,1825 LA PORTE RD Waterloo Iowa,42.468195,-92.320416
1/13/13,8:15:15,ASSAULT,118 E 11TH ST,REFERRED WITHIN DEPT,118 E 11TH ST Waterloo Iowa,42.493263,-92.328773
1/13/13,12:30:27,BURGLARY,1706 WILLISTON AV,REPORT INITIATED,1706 WILLISTON AV Waterloo Iowa,42.483607,-92.332316
1/13/13,14:31:09,SHOOTING IN PROGRESS/JUST,709 W 6TH ST,REPORT INITIATED,709 W 6TH ST Waterloo Iowa,42.489644,-92.342647
1/13/13,17:13:10,BURGLARY IN PROGRESS/JUST,221 BYRON AV,REPORT INITIATED,221 BYRON AV Waterloo Iowa,42.480543,-92.354255
